"Reference","Value","Footprint","QUANTITY"
"A1","Raspberry Pi 5","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1"
"C1,C2","10uF","Capacitor_SMD:C_1206_3216Metric","2"
"C3,C4","100nF","Capacitor_SMD:C_0805_2012Metric","2"
"C5","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1"
"J1","Flexor elec.","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J2","Extensor elec.","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J3","5V IN (sense)","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1"
"J4","5V PSU (servo)","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1"
"J5","Servo thumb","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J6","Servo index","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J7","Servo middle","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J8","Servo ring","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J9","Servo pinky","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J10","FSR thumb","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J11","FSR index","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J12","FSR middle","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"R1-R3","10k","Resistor_SMD:R_0805_2012Metric","3"
"U1","ESP32-DevKitC","Connector_PinHeader_2.54mm:PinHeader_2x19_P2.54mm_Vertical","1"
"U2","AD8232 flexor","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1"
"U3","AD8232 extensor","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1"
"U4","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"U5","PCA9685","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","1"
